HealthTopic,Population,Indicator,Unit,Time,RegionName,NumValue
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Austria,2.47640056
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Belgium,5.14779411
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Bulgaria,0.13735957
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Cyprus,0
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Czechia,0.21809085
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Germany,7.85641361
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Denmark,0.41129904
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Estonia,0.75325704
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Greece,NA
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Spain,5.72410354
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,EU/EEA (without UK),4.868167
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,EU/EEA (with UK until 2019),6.133566
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Finland,0
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,France,0.60230138
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Hungary,0
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Ireland,9.16649403
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Iceland,0
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Italy,11.66018807
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Lithuania,0
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Luxembourg,0
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Latvia,0
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Malta,5.00210068
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Netherlands,0.61885696
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Norway,3.70392471
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Poland,1.0326732
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Portugal,0
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Romania,15.11019777
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Sweden,0.10129483
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Slovenia,0
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,Slovakia,0
Measles,All cases,Age standardised rate,N/1000000,2007-01-01,United Kingdom,15.20662815
Measles,All cases,Age standardised rate,N/1000000,2008-01-01,Austria,55.69642874
Measles,All cases,Age standardised rate,N/1000000,2008-01-01,Belgium,8.77324173
Measles,All cases,Age standardised rate,N/1000000,2008-01-01,Bulgaria,0.16853147
Measles,All cases,Age standardised rate,N/1000000,2008-01-01,Cyprus,1.1286788
Measles,All cases,Age standardised rate,N/1000000,2008-01-01,Czechia,0.18417654
