"HealthTopic","Population","Indicator","Unit","Time","RegionName","NumValue"
"Measles","All cases","Reported cases","N","2022-W52","USA",0
"Measles","All cases","Reported cases","N","2023-W01","USA",1
"Measles","All cases","Reported cases","N","2023-W02","USA",1
"Measles","All cases","Reported cases","N","2023-W03","USA",0
"Measles","All cases","Reported cases","N","2023-W04","USA",0
"Measles","All cases","Reported cases","N","2023-W05","USA",0
"Measles","All cases","Reported cases","N","2023-W06","USA",0
"Measles","All cases","Reported cases","N","2023-W07","USA",1
"Measles","All cases","Reported cases","N","2023-W08","USA",0
"Measles","All cases","Reported cases","N","2023-W09","USA",1
"Measles","All cases","Reported cases","N","2023-W10","USA",1
"Measles","All cases","Reported cases","N","2023-W11","USA",1
"Measles","All cases","Reported cases","N","2023-W12","USA",1
"Measles","All cases","Reported cases","N","2023-W13","USA",1
"Measles","All cases","Reported cases","N","2023-W14","USA",2
"Measles","All cases","Reported cases","N","2023-W15","USA",0
"Measles","All cases","Reported cases","N","2023-W16","USA",0
"Measles","All cases","Reported cases","N","2023-W17","USA",1
"Measles","All cases","Reported cases","N","2023-W18","USA",0
"Measles","All cases","Reported cases","N","2023-W19","USA",2
"Measles","All cases","Reported cases","N","2023-W20","USA",2
"Measles","All cases","Reported cases","N","2023-W21","USA",2
"Measles","All cases","Reported cases","N","2023-W22","USA",1
"Measles","All cases","Reported cases","N","2023-W23","USA",0
"Measles","All cases","Reported cases","N","2023-W24","USA",0
"Measles","All cases","Reported cases","N","2023-W25","USA",0
"Measles","All cases","Reported cases","N","2023-W26","USA",0
"Measles","All cases","Reported cases","N","2023-W27","USA",0
"Measles","All cases","Reported cases","N","2023-W28","USA",0
"Measles","All cases","Reported cases","N","2023-W29","USA",2
"Measles","All cases","Reported cases","N","2023-W30","USA",0
"Measles","All cases","Reported cases","N","2023-W31","USA",1
"Measles","All cases","Reported cases","N","2023-W32","USA",0
"Measles","All cases","Reported cases","N","2023-W33","USA",1
"Measles","All cases","Reported cases","N","2023-W34","USA",0
